density,pH,sulphates,alcohol,id
0.9962,3.15,0.34,10.5,0
0.99782,3.14,0.4,8.8,1
0.9976,3.07,0.52,9.6,2
0.99535,3.17,0.43,10.0,3
0.99026,2.8,0.55,12.0,4
0.9947,3.32,0.56,11.0,5
0.9931,3.16,0.59,11.0,6
0.9959,3.13,0.4,8.9,7
0.99272,2.83,0.36,10.0,8
0.99665,3.17,0.39,10.9,9
0.997,3.22,0.59,9.5,10
0.9926,3.33,0.64,10.7,11
0.99556,3.17,0.47,9.4,12
0.9964,3.19,0.55,9.0,13
0.99394,3.45,0.63,10.6,14
0.9998,3.32,0.39,8.7,15
0.9986,3.44,0.47,9.5,16
0.9976,3.19,0.44,8.8,17
0.99712,3.47,0.48,9.1,18
100.014,3.02,0.56,9.1,19
0.99946,3.13,0.62,9.3,20
0.99397,3.21,0.4,10.7,21
0.99438,3.26,0.41,9.5,22
0.9918,3.17,0.64,12.2,23
0.9944,3.1,0.45,9.6,24
0.9943,3.38,0.44,11.0,25
0.994,2.99,0.32,11.0,26
0.993,3.38,0.51,9.7,27
0.9979,3.09,0.44,9.0,28
0.9976,3.03,0.49,10.2,29
0.9942,3.4,0.39,9.7,30
0.9917,3.48,0.44,10.7,31
0.995,3.28,0.38,9.4,32
0.991,2.99,0.41,12.3,33
0.99114,3.06,0.52,10.6,34
0.9895,3.39,0.43,12.7,35
0.98931,3.2,0.36,12.0,36
0.9936,3.4,0.42,11.4,37
0.9908,3.25,0.65,12.4,38
100.196,3.01,0.44,8.5,39
0.99151,2.96,0.39,12.5,40
0.9982,3.23,0.51,9.3,41
0.99095,3.05,0.62,11.2,42
0.99404,3.24,0.58,11.0,43
0.9986,3.04,0.46,8.9,44
0.9912,3.32,0.59,11.5,45
0.9984,3.06,0.45,9.1,46
0.9911,3.19,0.42,11.8,47
0.9961,3.38,0.53,10.5,48
0.9929,3.26,0.53,10.4,49
0.9934,3.12,0.32,11.5,50
0.9922,3.01,0.33,12.0,51
0.9931,2.98,0.41,11.4,52
0.9939,3.24,0.52,9.1,53
0.9918,3.28,0.37,10.1,54
0.98964,3.22,0.57,13.1,55
0.992,3.25,0.4,11.3,56
10.002,3.22,0.5,9.7,57
0.99666,3.09,0.54,9.2,58
0.9944,3.13,0.5,10.4,59
0.9916,3.12,0.59,12.0,60
0.99825,2.9,0.44,8.7,61
0.9927,3.23,0.5,10.7,62
0.99596,3.28,0.57,10.4,63
0.99165,3.16,0.44,11.3,64
0.9986,3.1,0.5,9.2,65
0.9929,3.17,0.51,9.6,66
0.99388,3.16,0.37,10.0,67
0.98986,3.36,0.33,12.8,68
0.99556,3.16,0.49,9.6,69
0.99942,2.95,0.75,8.8,70
0.9957,3.12,0.47,9.0,71
0.9959,3.1,0.47,9.0,72
0.9948,3.03,0.49,12.0,73
0.99495,3.18,0.46,9.7,74
0.99462,3.48,0.57,10.7,75
0.99482,3.22,0.38,10.8,76
0.99583,3.2,0.49,9.3,77
0.99249,2.95,0.39,10.1,78
100.051,3.05,0.5,9.2,79
0.9931,3.16,0.53,10.0,80
0.99907,3.06,0.68,9.5,81
0.992,3.5,0.35,10.6,82
0.99526,3.26,0.35,10.8,83
0.99328,3.09,0.37,9.8,84
0.9914,3.14,0.51,11.4,85
0.9983,3.18,0.61,9.3,86
0.99754,3.08,0.49,9.4,87
0.99542,3.23,0.48,9.5,88
0.9925,3.32,0.47,9.1,89
0.9934,3.21,0.5,9.4,90
0.99138,3.09,0.45,11.2,91
0.98914,3.4,0.56,12.6,92
0.99048,3.12,0.38,12.6,93
0.9955,3.2,0.51,9.6,94
0.99815,3.27,0.29,9.2,95
0.9953,3.24,0.38,9.8,96
0.99338,3.38,0.56,10.1,97
0.98926,3.24,0.36,12.3,98
0.9964,3.22,0.6,9.2,99
0.9912,3.27,0.48,11.0,100
0.9938,3.12,0.42,10.7,101
0.9927,3.32,0.62,10.8,102
0.99221,3.22,0.58,10.9,103
0.997,3.24,0.44,9.5,104
0.9982,3.06,0.6,9.5,105
0.99166,3.1,0.38,10.2,106
0.99112,3.28,0.53,11.8,107
0.99164,3.27,0.54,11.2,108
0.992,3.27,0.64,11.0,109
0.99269,3.24,0.48,11.0,110
0.9968,3.28,0.5,10.2,111
0.9928,3.17,0.51,10.9,112
0.9954,2.99,0.57,10.4,113
0.99194,3.27,0.48,11.2,114
0.99052,3.18,0.67,12.4,115
0.9923,3.0,0.31,10.1,116
0.99064,3.26,0.39,11.7,117
0.99592,3.19,0.54,10.6,118
0.992,3.38,0.49,12.2,119
100.037,3.1,0.48,9.2,120
0.99055,3.28,0.48,12.5,121
0.99626,3.19,0.51,9.8,122
0.99378,3.24,0.48,9.9,123
0.99835,3.04,0.54,9.0,124
0.99026,3.08,0.47,12.4,125
0.9904,3.19,0.38,11.3,126
0.989,3.32,0.47,12.9,127
0.99212,3.16,0.33,11.2,128
0.9936,3.18,0.5,9.9,129
0.98958,3.12,0.4,12.1,130
0.9924,3.31,0.57,10.9,131
0.9927,3.33,0.33,10.1,132
0.993,2.79,0.37,10.1,133
0.99388,3.13,0.49,11.0,134
0.99315,3.44,0.46,12.4,135
0.99428,3.18,0.5,9.3,136
0.9933,3.49,0.58,10.0,137
0.99455,3.35,0.47,10.5,138
0.9938,2.95,0.4,9.4,139
0.9918,2.98,0.39,13.3,140
0.9938,3.09,0.43,9.3,141
0.99884,3.13,0.45,8.6,142
0.99206,3.2,0.47,11.8,143
0.98876,3.16,0.4,13.4,144
0.99142,3.29,0.39,10.5,145
0.99388,3.16,0.37,10.0,146
0.99336,3.47,0.5,11.0,147
0.99441,3.16,0.49,9.8,148
0.99032,3.4,0.44,12.2,149
0.98948,3.19,0.5,12.3,150
0.9968,3.14,0.43,9.9,151
0.99051,3.31,0.45,11.6,152
0.993,3.0,0.38,9.8,153
0.98938,3.06,0.44,11.8,154
0.9934,3.03,0.43,9.2,155
0.9974,3.2,0.53,10.0,156
0.99089,3.25,0.75,11.3,157
0.99677,3.22,0.49,10.3,158
0.9966,3.21,0.39,9.6,159
0.992,3.18,0.44,11.2,160
0.99294,2.96,0.56,11.0,161
0.99114,3.38,0.51,12.0,162
0.9976,3.34,0.51,9.6,163
0.9997,3.38,0.6,9.2,164
0.99755,2.9,0.46,9.0,165
0.99142,3.23,0.49,12.2,166
0.99304,3.35,0.61,10.4,167
0.99214,3.07,0.52,9.8,168
0.99655,3.14,0.52,9.4,169
0.99174,3.0,0.55,11.4,170
0.99705,3.16,0.5,9.6,171
0.99466,3.38,0.46,10.0,172
0.99036,3.08,0.49,12.7,173
0.9914,3.25,0.55,11.4,174
0.99474,3.36,0.37,10.4,175
0.9947,3.4,0.34,10.7,176
0.997,3.17,0.59,9.7,177
0.99076,3.32,0.44,11.1,178
0.992,3.0,0.55,11.3,179
0.996,3.16,0.5,9.3,180
0.98961,3.36,0.37,12.7,181
0.9898,3.28,0.36,12.7,182
0.98944,3.03,0.33,12.9,183
0.99097,3.44,0.44,11.45,184
0.9941,3.26,0.37,11.2,185
0.99611,3.11,0.58,9.9,186
0.991,3.34,0.5,11.0,187
0.99564,3.4,0.38,10.8,188
0.99454,3.19,0.7,10.4,189
0.99413,3.03,0.38,9.3,190
0.9899,3.01,0.68,12.0,191
0.99305,3.12,0.7,10.4,192
0.99335,3.35,0.66,11.1,193
0.9922,3.17,0.38,10.0,194
0.9928,3.19,0.46,11.5,195
0.99684,3.16,0.43,10.3,196
0.99652,3.2,0.42,9.2,197
0.99382,3.08,0.35,11.6,198
0.98966,3.26,0.58,13.1,199
0.99132,3.14,0.61,11.8,200
0.9927,3.19,0.45,9.5,201
0.99827,3.11,0.48,9.0,202
0.995,3.36,0.48,9.8,203
0.99129,3.16,0.44,12.4,204
0.99366,3.17,0.38,10.2,205
0.9999,3.22,0.42,8.8,206
0.99596,3.34,0.5,9.9,207
0.993,3.16,0.71,11.4,208
0.99229,3.07,0.67,10.1,209
0.98964,3.32,0.42,12.5,210
0.9975,3.23,0.48,9.1,211
0.9927,3.19,0.33,9.8,212
0.99502,3.12,0.45,9.6,213
0.9945,3.34,0.43,9.6,214
0.99551,3.16,0.51,9.5,215
0.9992,3.09,0.52,9.6,216
0.999,3.14,0.46,8.9,217
0.99587,3.31,0.59,10.4,218
0.99907,3.06,0.68,9.5,219
0.9962,3.4,0.41,9.4,220
0.99202,2.88,0.54,10.5,221
0.9981,3.11,0.49,9.3,222
0.9975,3.2,0.33,11.0,223
0.9903,3.34,0.59,12.8,224
0.9958,3.13,0.45,8.9,225
0.99102,2.98,0.53,11.8,226
0.9932,3.4,0.47,10.7,227
0.9923,3.23,0.52,11.8,228
0.99164,2.93,0.41,13.6,229
0.9966,3.11,0.57,9.7,230
0.9982,3.46,0.72,10.0,231
0.9966,3.4,0.58,11.0,232
0.9956,3.24,0.43,9.2,233
0.99386,3.1,0.57,12.9,234
0.9942,3.22,0.38,9.8,235
0.9931,3.16,0.35,10.3,236
0.99226,3.14,0.47,9.8,237
0.995,3.2,0.39,9.6,238
0.9937,3.29,0.45,10.0,239
100.014,3.1,0.5,9.3,240
0.996,3.37,0.74,10.8,241
0.99044,2.94,0.35,12.0,242
0.99199,3.43,0.48,11.1,243
0.9925,3.27,0.45,12.2,244
0.99309,3.24,0.5,9.6,245
0.9953,3.22,0.56,10.5,246
0.99687,3.11,0.29,9.7,247
0.99281,3.22,0.6,11.0,248
0.9904,3.29,0.54,12.5,249
0.99356,3.18,0.37,11.2,250
0.9943,3.1,0.3,11.2,251
0.99468,3.1,0.55,10.8,252
0.99346,3.5,0.47,10.0,253
0.99148,3.3,0.36,10.5,254
0.993,3.5,0.54,10.3,255
0.9912,3.32,0.59,11.5,256
0.9938,3.25,0.43,10.8,257
0.99322,3.41,0.64,11.8,258
0.9985,3.21,0.6,9.2,259
10.002,3.14,0.38,8.7,260
1.0,3.42,0.35,9.1,261
0.99574,3.04,0.56,10.0,262
0.9948,3.2,0.54,10.0,263
0.9955,3.16,0.45,9.6,264
0.9912,3.38,0.38,12.3,265
0.9922,3.19,0.46,10.0,266
0.9931,3.11,0.38,10.2,267
0.9972,3.34,0.45,9.5,268
0.99148,2.91,0.23,12.2,269
0.9932,3.38,0.35,12.0,270
0.9938,3.13,0.38,12.3,271
0.9928,2.96,0.4,11.5,272
0.9957,3.3,0.49,10.1,273
0.99542,3.23,0.48,9.5,274
0.9922,3.26,0.6,10.8,275
0.995,3.2,0.41,9.9,276
0.99176,3.3,0.73,11.4,277
0.9904,3.12,0.42,11.2,278
0.99418,3.22,0.49,9.9,280
0.996,3.23,0.37,9.2,281
0.9934,3.03,0.38,9.0,282
0.9948,3.05,0.54,11.1,283
0.9924,3.23,0.44,11.8,284
0.98894,3.22,0.53,13.5,285
0.9942,3.08,0.45,9.1,286
0.99884,3.26,0.57,9.4,287
0.99455,3.25,0.54,11.0,288
0.9986,3.31,0.55,9.3,289
0.9944,3.28,0.48,9.5,290
0.9961,3.13,0.47,8.9,291
0.99898,3.18,0.49,9.7,292
0.99207,3.13,0.45,10.2,293
0.9923,3.24,0.33,10.5,294
0.99666,2.88,0.36,9.0,295
0.99352,3.46,0.45,9.9,296
0.99304,3.09,0.54,9.3,297
0.9934,3.18,0.55,9.9,298
0.9958,3.15,0.45,8.9,299
0.9906,3.07,0.46,12.5,300
0.99644,3.16,0.49,9.1,301
0.99129,3.02,0.53,11.4,302
0.9903,3.01,0.33,12.4,303
0.9906,3.1,0.71,12.3,304
0.9951,3.1,0.47,10.6,305
0.9935,3.08,0.59,11.3,306
0.99573,3.14,0.5,10.2,308
0.98914,2.96,0.36,12.5,309
0.98953,3.24,0.37,12.0,310
0.9989,3.18,0.64,9.1,311
0.99225,3.39,0.69,10.9,312
0.9942,3.16,0.67,10.2,313
0.99946,3.23,0.43,8.8,314
0.9934,3.37,0.54,9.4,315
0.9982,3.04,0.5,9.2,316
0.99775,3.17,0.43,9.5,317
0.9925,3.3,0.47,12.4,318
0.9972,3.3,0.36,8.9,319
0.9927,2.99,0.28,11.5,320
0.9937,3.24,0.4,11.5,321
0.9906,3.04,0.53,12.5,322
0.99792,2.94,0.45,9.1,323
0.992,3.13,0.57,12.3,324
0.99144,3.21,0.43,12.1,325
0.99954,2.93,0.52,9.1,326
0.99132,3.1,0.58,11.2,327
0.9914,2.88,0.38,10.8,328
0.998,3.02,0.5,9.1,329
0.99282,3.21,0.6,11.0,330
0.9906,3.28,0.4,11.8,331
0.99207,3.13,0.45,10.2,332
0.99,3.29,0.62,12.6,333
0.99195,3.13,0.41,10.5,334
0.9955,3.14,0.35,11.3,335
0.99456,3.4,0.39,10.5,336
0.9934,3.34,0.58,10.1,337
0.9923,3.49,0.42,11.4,338
0.9902,3.2,0.38,11.5,339
0.9994,3.34,0.67,8.8,340
0.9953,3.18,0.4,10.6,341
0.9982,3.1,0.46,9.0,342
0.99407,3.11,0.42,11.8,343
0.98984,2.87,0.48,11.2,344
0.9927,3.13,0.42,9.3,345
0.99439,3.02,0.34,11.8,346
0.9937,3.34,0.64,10.9,347
0.99434,3.23,0.64,9.8,348
0.98978,3.07,0.45,12.0,349
0.9938,3.23,0.46,10.4,350
0.99092,3.06,0.46,10.5,351
0.99505,3.12,0.4,8.9,352
0.9912,3.32,0.41,11.6,353
0.9957,3.27,0.57,10.1,354
0.98892,3.41,0.41,12.9,355
0.9934,3.23,0.52,9.2,356
0.99296,3.22,0.46,11.0,357
0.9906,3.19,0.48,11.3,358
0.9939,3.16,0.52,11.7,359
0.9929,3.15,0.69,11.4,360
0.99373,3.02,0.53,9.4,361
0.99462,3.48,0.57,10.7,362
0.989435,2.96,0.61,12.0,363
0.9928,3.19,0.35,11.5,364
0.999,3.14,0.46,8.9,365
0.9949,3.46,0.45,10.0,366
0.99665,3.2,0.38,10.5,367
0.9938,3.05,0.37,10.1,368
0.994,3.3,0.49,9.5,369
0.99012,3.27,0.36,13.5,370
0.994,3.23,0.67,10.3,371
0.9927,3.07,0.25,12.7,372
0.99858,3.18,0.51,9.2,373
0.9912,3.31,0.65,12.0,374
0.99863,3.16,0.71,9.4,375
0.9936,3.21,0.41,9.5,376
0.99272,3.14,0.41,12.4,377
0.99192,3.19,0.71,12.1,378
0.9951,2.94,0.31,9.6,379
0.9952,3.22,0.62,9.9,380
0.9972,3.28,0.39,9.4,382
0.9978,3.23,0.5,9.6,383
0.99385,3.36,0.57,10.9,384
0.9941,3.26,0.37,11.2,385
0.994,3.21,0.55,9.9,386
0.9947,3.21,0.36,11.5,387
0.9947,3.21,0.36,11.5,388
0.9901,3.03,0.39,11.4,389
0.99532,3.14,0.42,10.2,390
0.99084,3.38,0.35,11.5,391
0.99107,3.16,0.42,11.3,392
0.9899,3.35,0.35,11.5,393
0.9974,3.52,0.58,9.7,394
0.99455,3.5,0.52,10.4,395
0.99563,3.12,0.46,10.8,396
0.98889,2.96,0.35,13.0,397
0.9994,3.24,0.66,9.0,398
0.993,3.1,0.39,10.5,399
100.118,3.39,0.53,9.1,400
0.9984,2.9,0.43,8.7,401
0.9907,3.23,0.47,12.5,402
0.98912,3.31,0.38,13.0,403
0.99119,3.16,0.62,9.7,404
0.9928,3.33,0.34,9.9,405
0.9907,3.14,0.73,11.2,406
0.99382,3.53,0.66,10.5,407
0.9936,3.13,0.38,12.3,408
0.99093,3.08,0.43,11.9,409
0.98916,3.41,0.55,12.7,410
0.99663,3.14,0.4,9.5,411
0.9938,3.3,0.69,10.4,412
0.99422,3.08,0.47,9.5,413
0.99512,3.21,0.36,9.4,414
0.9943,3.1,0.42,10.5,415
0.99792,2.96,0.39,9.0,416
0.99321,3.14,0.52,10.9,417
0.99705,3.24,0.52,10.5,418
0.9969,3.14,0.46,10.3,419
0.99976,3.22,0.75,8.9,420
0.994,3.39,0.37,10.6,421
0.9905,3.24,0.32,11.4,422
0.99528,3.15,0.48,9.2,423
0.9936,3.24,0.54,10.8,424
0.9966,3.08,0.4,10.2,425
0.9896,3.44,0.35,12.2,426
0.99252,3.27,0.57,11.6,427
0.9898,3.09,0.46,12.3,428
0.9963,3.35,0.49,9.4,429
0.9963,3.09,0.32,8.8,430
0.992,3.2,0.55,11.0,431
0.997,3.19,0.44,9.5,432
0.99038,3.18,0.51,11.7,433
0.99705,3.16,0.5,9.6,434
0.9981,3.18,0.49,8.7,435
0.9968,3.09,0.46,10.0,436
0.9977,3.08,0.59,9.6,437
0.9917,3.19,0.43,11.1,438
0.9932,3.2,0.27,11.5,439
0.99566,3.2,0.5,9.4,440
0.9974,3.52,0.58,9.7,441
0.99469,3.11,0.45,10.9,442
10.001,3.3,0.37,8.8,443
0.99365,3.1,0.56,10.8,444
0.99687,3.11,0.29,9.7,445
0.995,3.28,0.38,9.4,446
0.99121,3.03,0.56,11.3,447
0.99325,3.41,0.5,10.8,448
0.9944,3.14,0.47,10.7,449
0.99104,2.99,0.38,11.1,450
0.9933,3.16,0.69,10.6,451
0.9939,2.99,0.32,11.0,452
0.99538,3.12,0.5,9.5,453
0.9964,3.12,0.45,8.8,454
0.9948,3.14,0.49,9.6,455
0.992,3.22,0.45,12.3,456
0.99234,3.25,0.26,12.3,457
0.9946,3.24,0.42,10.6,458
0.9955,3.28,0.69,8.9,459
0.991,3.14,0.5,12.0,460
0.992,3.17,0.51,10.4,461
0.99125,3.28,0.4,11.5,462
0.9958,3.39,0.57,9.7,463
0.98984,3.35,0.5,12.7,464
0.99076,3.27,0.59,11.9,465
0.99405,3.35,0.64,10.2,466
0.9958,3.35,0.52,9.6,467
0.9924,3.31,0.5,10.3,468
0.99473,3.34,0.52,10.9,469
0.99166,3.2,0.57,11.4,470
0.9912,3.54,0.52,12.4,471
0.99216,3.18,0.4,11.0,472
0.9909,3.08,0.68,11.5,473
0.98845,3.29,0.33,13.1,474
0.99014,3.23,0.44,12.6,475
0.99283,3.12,0.56,11.0,476
0.99906,3.08,0.46,8.8,477
0.9909,3.12,0.59,10.8,478
0.99711,3.31,0.56,9.8,479
0.99159,3.31,0.63,11.3,480
0.99546,3.0,0.63,10.7,481
0.99354,3.3,0.5,10.4,482
0.99898,3.08,0.56,9.4,483
0.98975,3.21,0.47,13.4,484
0.99278,2.99,0.4,10.8,485
0.99756,3.33,0.54,10.2,486
0.9942,3.32,0.44,10.9,487
0.99445,3.3,0.43,9.4,488
0.989,3.12,0.25,12.9,489
0.9965,3.28,0.44,8.7,490
0.99428,3.09,0.49,9.8,491
0.99085,3.34,0.58,11.1,492
0.9956,3.22,0.43,9.4,493
0.9953,3.46,0.55,11.4,494
0.99241,3.39,0.4,11.3,495
0.9974,3.09,0.45,9.4,496
0.99485,3.14,0.6,9.7,497
0.992,3.1,0.42,10.4,498
0.9918,3.01,0.38,12.4,499
0.99258,3.1,0.43,12.1,500
0.9937,3.09,0.59,11.0,501
0.99243,3.28,0.45,10.6,502
0.99118,3.04,0.65,10.8,503
0.99839,2.98,0.47,9.1,504
0.98914,2.96,0.36,12.5,505
0.9988,3.17,0.54,9.1,506
0.99152,3.03,0.49,10.4,507
0.9933,3.13,0.5,10.2,508
0.9954,3.16,0.44,9.6,509
0.9918,3.19,0.51,11.4,510
0.9954,3.44,0.4,9.6,511
0.99674,3.24,0.53,9.5,512
0.99156,3.46,0.44,12.2,513
0.9944,3.08,0.61,10.3,514
10.002,2.96,0.5,9.1,515
0.98823,3.2,0.46,13.05,516
0.98931,3.2,0.36,12.0,517
0.99604,3.11,0.6,9.2,518
0.99068,3.25,0.51,11.2,519
0.9937,3.2,0.53,10.1,520
0.9913,3.05,0.44,11.8,521
0.99172,3.2,0.39,11.94,522
0.99642,3.47,0.4,8.5,523
0.99236,3.06,0.68,10.5,524
0.99027,3.42,0.42,12.5,525
0.99104,3.11,0.44,11.0,526
0.9976,3.29,0.64,9.9,527
0.9926,3.13,0.45,11.6,528
0.9941,3.12,0.48,10.3,529
0.9955,3.04,0.43,10.9,530
0.9918,3.06,0.46,11.0,531
0.99151,2.96,0.39,12.5,532
0.9902,3.14,0.53,12.7,533
0.992,3.12,0.38,10.7,534
0.99558,3.14,0.48,9.4,535
1.0,3.34,0.42,9.6,536
0.99693,3.1,0.55,10.0,537
0.9961,3.54,0.59,10.3,538
0.9953,3.22,0.56,10.5,539
0.9955,3.43,0.41,9.0,540
0.99588,3.13,0.38,9.9,541
0.9924,3.14,0.51,9.6,542
0.99254,3.18,0.42,11.1,543
0.98896,3.17,0.32,12.9,544
0.992,3.15,0.54,11.1,545
0.9944,3.14,0.47,10.7,546
0.98865,3.15,0.54,12.9,547
0.99021,3.36,0.49,12.0,548
0.98986,3.36,0.56,12.0,549
0.9955,3.08,0.39,9.0,550
0.9921,3.29,0.46,11.6,551
0.9914,3.43,0.42,12.0,552
0.99057,3.2,0.44,11.7,553
0.99194,3.0,0.54,10.9,554
0.99326,3.11,0.37,11.5,555
0.99078,3.27,0.56,11.1,556
0.99924,3.26,0.41,8.8,557
0.9927,3.19,0.45,9.5,558
0.9954,3.25,0.54,10.4,559
0.9998,3.37,0.38,9.6,560
0.9909,3.31,0.47,11.5,561
0.99975,3.12,0.47,8.8,562
0.9939,3.42,0.51,9.0,563
0.98865,3.11,0.52,12.7,564
0.993,3.03,0.48,10.5,565
0.9929,3.08,0.54,9.0,566
0.9917,3.13,0.39,11.0,567
0.99174,3.32,0.35,10.2,568
0.9966,3.07,0.46,9.4,569
0.99946,3.23,0.43,8.8,570
0.9999,2.97,0.47,9.0,571
0.9962,3.23,0.47,9.0,572
0.9931,3.42,0.55,11.4,573
0.99257,3.16,0.36,11.8,574
0.99608,3.13,0.46,10.4,575
0.9975,3.18,0.42,9.8,576
0.998,3.27,0.44,9.0,577
0.9957,3.54,0.5,10.3,578
0.9958,3.08,0.42,9.2,579
100.038,2.98,0.61,8.5,580
0.99604,3.22,0.49,9.2,581
0.99971,2.94,0.43,9.0,582
0.99076,3.32,0.44,11.1,583
0.9913,3.23,0.51,11.4,584
0.9911,3.0,0.32,12.8,585
0.99297,3.05,0.5,9.5,586
0.9946,3.25,0.56,10.6,587
0.9978,3.39,0.38,9.6,588
0.99691,3.08,0.45,9.4,589
0.99293,3.28,0.45,10.3,590
0.9936,3.19,0.43,9.1,591
0.99426,3.31,0.57,11.8,592
0.99558,3.16,0.49,9.5,593
0.9955,3.35,0.62,10.0,594
0.99519,3.12,0.5,10.6,595
0.99058,3.02,0.58,11.3,596
0.99425,3.15,0.63,9.9,597
0.9969,3.12,0.55,9.5,598
0.99,3.26,0.4,12.6,599
0.9938,3.2,0.38,11.0,600
0.9898,3.25,0.4,12.7,601
0.99445,3.1,0.56,10.0,602
0.99026,3.2,0.6,12.6,603
0.9987,3.04,0.56,8.8,604
0.99035,3.24,0.6,12.6,605
0.99146,3.3,0.54,11.3,607
0.9932,3.02,0.4,9.0,608
0.9923,3.37,0.51,11.6,609
100.037,3.1,0.48,9.2,610
0.99616,3.05,0.52,10.0,611
0.989315,3.19,0.31,13.0,612
0.99186,2.9,0.72,12.1,613
0.9966,3.23,0.49,10.5,614
0.9942,3.36,0.42,9.6,615
0.99402,3.53,0.58,10.8,616
0.9937,3.19,0.62,9.9,617
0.9972,3.29,0.38,9.3,618
0.99166,3.35,0.47,12.3,619
0.9982,3.44,0.53,9.8,620
0.99,3.26,0.42,12.2,621
0.99808,3.02,0.34,8.8,622
0.99189,3.06,0.44,11.5,623
0.992,3.25,0.43,10.4,624
0.99116,3.17,0.41,12.3,625
0.99699,3.11,0.6,9.8,626
0.9934,3.15,0.38,9.4,627
0.9982,3.19,0.49,9.3,628
0.99354,3.05,0.41,12.2,629
0.99579,3.16,0.5,9.4,630
0.9958,3.35,0.52,9.6,631
0.9896,3.38,0.44,12.3,632
0.9983,3.03,0.42,9.0,633
0.99016,3.26,0.54,13.0,634
0.99582,3.21,0.45,9.4,635
0.99021,3.17,0.27,13.6,636
0.99737,3.16,0.41,9.7,637
0.994,3.43,0.61,10.5,638
0.9919,3.32,0.51,10.4,639
0.9928,3.42,0.43,10.6,640
0.99254,2.99,0.46,9.4,641
0.9967,3.17,0.44,8.8,642
0.99313,3.38,0.51,11.0,643
0.9954,3.45,0.43,9.2,644
0.99825,2.9,0.44,8.7,645
1.0,2.99,0.46,9.0,646
0.98993,2.95,0.3,11.4,647
0.99558,3.14,0.48,9.4,648
0.99134,3.46,0.44,11.5,649
0.99692,3.18,0.49,9.4,650
0.99546,3.03,0.58,10.4,651
0.9944,3.17,0.33,10.2,652
0.98779,3.12,0.4,14.2,653
0.99567,3.17,0.38,10.6,654
0.9985,3.08,0.53,8.8,655
0.99283,3.12,0.56,11.0,656
0.9918,3.55,0.45,10.3,657
0.99508,3.23,0.37,10.0,658
0.99502,3.22,0.44,10.5,659
0.98946,3.35,0.43,11.4,661
0.9974,3.37,0.59,10.1,662
0.99576,3.2,0.53,9.1,663
0.99767,3.19,0.53,9.6,664
0.9938,3.08,0.34,9.4,665
0.9979,2.89,0.42,8.9,666
0.99368,3.18,0.39,10.6,667
0.994,3.35,0.39,9.4,668
0.9935,3.2,0.59,10.6,669
0.9916,3.54,0.59,11.1,670
0.99472,3.18,0.53,9.8,671
0.9939,3.26,0.5,10.8,672
0.99215,3.02,0.56,11.0,673
0.98896,3.17,0.32,12.9,674
0.997,3.25,0.53,10.2,675
0.99208,3.16,0.42,10.0,676
0.99752,3.06,0.43,9.1,677
0.99176,3.05,0.52,10.9,678
0.9946,3.21,0.62,9.5,679
0.99264,3.37,0.49,10.9,680
0.9979,2.89,0.42,8.9,681
0.99542,3.28,0.44,9.5,682
0.99092,3.21,0.52,11.2,683
0.9983,2.94,0.44,9.1,684
0.9932,3.01,0.55,10.4,685
0.9933,3.43,0.49,10.9,686
10.001,3.3,0.37,8.8,687
0.99218,3.04,0.67,10.0,688
0.9937,3.3,0.71,10.3,689
0.9919,3.22,0.43,9.2,690
0.9918,3.16,0.56,12.2,691
0.9972,3.16,0.63,9.6,692
0.99142,3.17,0.55,10.7,693
